cbo2002,titulo_cbo2002,cbo94,ciuo88
1111-05,Senador,2-11.20,1110
1111-10,Deputado federal,2-11.30,1110
1111-15,Deputado estadual e distrital,2-11.35,1110
1111-20,Vereador,2-11.40,1110
1113-30,Juiz federal,2-13.20,1110
1113-45,Juiz do trabalho,2-13.50,1110
1313-05,Diretor de instituição educacional da área privada,1-39.15,2310
1414-05,Comerciante atacadista,4-10.20,1314
1414-10,Comerciante varejista,4-10.30,1314
1414-15,Gerente de loja e supermercado,4-21.50,1314
1415-05,Gerente de hotel,5-00.20,1315
1415-10,Gerente de restaurante,5-00.30,1315
1415-15,Gerente de bar,5-00.25,1315
1415-20,Gerente de pensão,5-00.35,1315
1416-05,Gerente de operações de transportes,2-49.20,1226
1416-10,Gerente de operações de correios e telecomunicações,2-49.30,1226
1417-05,Gerente de produtos bancários,2-43.55,1317
1417-10,Gerente de agência bancária,2-43.25,1317
1417-15,Gerente de câmbio e comércio exterior,2-43.47,1317
1421-05,Gerente administrativo,2-41.20,2149
1421-15,Gerente financeiro,2-43.20,2149
1422-10,Gerente de departamento pessoal,2-41.30,1232
1423-05,Gerente comercial,2-43.30,1233
1423-10,Gerente de comunicação,2-41.40,1234
1423-15,Gerente de marketing,2-43.70,1239
1423-20,Gerente de vendas,2-43.50,1233
1423-25,Relações públicas,1-59.55,2419
1423-30,Analista de negócios,1-99.55,2419
1423-35,Analista de pesquisa de mercado,1-99.45,2419
1424-05,Gerente de compras,2-43.40,1233
1426-05,"Gerente de pesquisa, desenvolvimento e inovação (pdi)",2-42.30,1236
2030-05,Pesquisador em biologia ambiental,0-51.25,2211
2030-10,Pesquisador em biologia animal,0-51.30,2211
2030-15,Pesquisador em biologia de microorganismos e parasitas,0-51.40,2211
2030-20,Pesquisador em biologia humana,0-51.50,2211
2030-25,Pesquisador em biologia vegetal,0-51.20,2211
2035-20,Pesquisador em história,1-92.60,2443
2041-05,Perito criminal,3-13.40,3450
2111-05,Atuário,0-82.50,2121
2111-10,Especialista em pesquisa operacional,0-82.40,2121
2111-15,Matemático,0-82.20,2121
2112-05,Estatístico,0-81.10,2122
2112-10,Estatístico (estatística aplicada),0-81.30,2122
2123-05,Administrador de banco de dados,1-91.45,2131
2124-05,Analista de desenvolvimento de sistemas,0-83.20,2131
2124-10,Analista de redes e de comunicação de dados,0-83.45,2131
2124-20,Analista de suporte computacional,0-83.30,2131
2131-05,Físico,0-12.10,2111
2131-10,Físico (acústica),0-12.50,2111
2131-50,Físico (medicina),0-12.15,2111
2131-55,Físico (nuclear e reatores),0-12.80,2111
2131-60,Físico (óptica),0-12.40,2111
2131-75,Físico (térmica),0-12.30,2111
2132-05,Químico,0-11.10,2113
2132-10,Químico industrial,0-11.05,2113
2133-05,Astrônomo,0-19.40,2111
2133-15,Meteorologista,0-19.30,2112
2134-05,Geólogo,0-27.50,2114
2134-15,Geofísico,0-19.20,2114
2141-05,Arquiteto de edificações,0-21.75,2141
2141-20,Arquiteto paisagista,0-21.85,2141
2141-25,Arquiteto urbanista,0-21.80,2141
2142-05,Engenheiro civil,0-21.10,2142
2142-10,Engenheiro civil (aeroportos),0-21.35,2142
2142-15,Engenheiro civil (edificações),0-21.15,2142
2142-25,Engenheiro civil (ferrovias e metrovias),0-21.45,2142
2142-40,Engenheiro civil (hidráulica),0-21.70,2142
2142-45,Engenheiro civil (pontes e viadutos),0-21.50,2142
2142-55,Engenheiro civil (rodovias),0-21.25,2142
2142-65,Engenheiro civil (túneis),0-21.55,2142
2143-05,Engenheiro eletricista,0-23.05,2143
2143-10,Engenheiro eletrônico,0-23.10,2144
2143-25,Engenheiro eletrônico de manutenção,0-23.35,2144
2143-40,Engenheiro de telecomunicações,0-23.40,2144
2144-05,Engenheiro mecânico,0-24.10,2145
2144-10,Engenheiro mecânico automotivo,0-24.70,2145
2144-15,Engenheiro mecânico (energia nuclear),0-24.85,2145
2144-25,Engenheiro aeronáutico,0-24.60,2145
2144-30,Engenheiro naval,0-24.50,2145
2145-05,Engenheiro químico,0-25.10,2146
2145-20,Engenheiro químico (papel e celulose),0-25.30,2146
2146-10,Engenheiro metalurgista,0-26.20,2147
2147-05,Engenheiro de minas,0-27.10,2147
2148-05,Engenheiro agrimensor,0-29.35,2148
2149-05,Engenheiro de produção,0-28.10,2149
2149-10,Engenheiro de controle de qualidade,0-28.50,2149
2149-15,Engenheiro de segurança do trabalho,0-28.40,2149
2149-25,Engenheiro de tempos e movimentos,0-28.30,2149
2152-10,Primeiro oficial de máquinas da marinha mercante,0-43.15,3141
2152-20,Superintendente técnico no transporte aquaviário,0-43.30,3141
2153-05,Piloto de aeronaves,0-41.20,3143
2153-10,Piloto de ensaios em vôo,0-41.70,3143
2153-15,Instrutor de vôo,0-41.60,3143
2211-05,Biólogo,0-51.10,2211
2221-10,Engenheiro agrônomo,0-20.20,2213
2221-15,Engenheiro de pesca,0-20.60,2213
2221-20,Engenheiro florestal,0-20.40,2213
2232-08,Cirurgião dentista - clínico geral,0-63.10,2222
2232-12,Cirurgião dentista - endodontista,0-63.40,2222
2232-36,Cirurgião dentista - odontopediatra,0-63.55,2222
2232-40,Cirurgião dentista - ortopedista e ortodontista,0-63.45,2222
2232-44,Cirurgião dentista - patologista bucal,0-63.50,2222
2232-48,Cirurgião dentista - periodontista,0-63.70,2222
2232-56,Cirurgião dentista - protesista,0-63.60,2222
2232-60,Cirurgião dentista - radiologista,0-63.65,2222
2232-68,Cirurgião dentista - traumatologista bucomaxilofacial,0-63.35,2222
2232-72,Cirurgião dentista de saúde coletiva,0-63.30,2222
2233-05,Médico veterinário,0-65.10,2223
2233-10,Zootecnista,0-65.40,2223
2234-05,Farmacêutico,0-67.10,2224
2235-05,Enfermeiro,0-71.10,2230
2235-20,Enfermeiro de centro cirúrgico,0-71.50,2230
2235-25,Enfermeiro de terapia intensiva,0-71.55,2230
2235-30,Enfermeiro do trabalho,0-71.40,2230
2235-45,Enfermeiro obstétrico,0-71.45,2230
2235-50,Enfermeiro psiquiátrico,0-71.65,2230
2235-55,Enfermeiro puericultor e pediátrico,0-71.60,2230
2235-60,Enfermeiro sanitarista,0-71.30,2230
2236-05,Fisioterapeuta geral,0-76.20,2229
2237-05,Dietista,0-68.30,2229
2237-10,Nutricionista,0-68.10,2229
2238-10,Fonoaudiólogo geral,0-79.25,2229
2239-05,Terapeuta ocupacional,0-76.30,2229
2239-10,Ortoptista,0-75.25,2229
